id,name,tr,state,prov,cat,badge,unesco,lat,lon,ap,apn,fd,apkm,apmin,season,entry,wikiurl
gokceada,Gökçeada (Imbros),Gökçeada,Marmara,Çanakkale,coast,gem,False,40.16083,25.84444,GKD,Gökçeada (GKD),≈5h10,5,5,Jun and Sep — the meltem blows hard all August and ferries stop in winter storms,Free,https://en.wikipedia.org/wiki/Imbros
bozcaada,Bozcaada,Bozcaada,Marmara,Çanakkale,coast,icon,False,39.82194,26.02889,GKD,Gökçeada (GKD),≈5h10,45,45,Jun and Sep — August is a booked-out crush and winter ferries cancel in northerlies,Island free; castle ≈₺150 (≈€4),https://en.wikipedia.org/wiki/Tenedos
enez-ainos,Enez (Ainos),Enez,Marmara,Edirne,ruins,gem,False,40.72222,26.08333,GKD,Gökçeada (GKD),≈5h10,90,85,Jun–Sep for swimming — Saros water stays cold and clear later than the Aegean,Free,https://en.wikipedia.org/wiki/Enez
troy,Troy,Truva (Troya),Marmara,Çanakkale,ruins,icon,True,39.9575,26.23889,CKZ,Çanakkale (CKZ),≈4h50,35,35,Apr–May and Sep–Oct — there is no shade on the mound in July and August,≈€15 · Troy Museum ticketed separately ≈€12 · both covered by Museum Pass Türkiye,https://en.wikipedia.org/wiki/Troy
anzac-cove,Anzac Cove,Arıburnu Koyu,Marmara,Çanakkale,coast,icon,False,40.23611,26.2775,CKZ,Çanakkale (CKZ),≈4h50,20,20,Apr–Jun and Sep–Oct — Anzac Day itself needs a permit and a very early start,Free,https://en.wikipedia.org/wiki/ANZAC_Cove
assos-behramkale,Assos (Behramkale),Assos (Behramkale),Marmara,Çanakkale,ruins,icon,False,39.48778,26.33694,EDO,Balıkesir Koca Seyit (EDO),≈4h50,75,75,May–Jun and Sep — August fills the harbour hotels and the one road down,Acropolis ≈₺200 (≈€5) · covered by Museum Pass Türkiye,https://en.wikipedia.org/wiki/Assos
gallipoli-battlefields,Gallipoli Battlefields,Gelibolu Yarımadası Tarihî Millî Parkı,Marmara,Çanakkale,heritage,icon,False,40.17032,26.36767,CKZ,Çanakkale (CKZ),≈4h50,10,10,"Apr–Jun and Sep–Oct — 25 April is Anzac Day, when the peninsula is sealed and full",Free (all battlefield sites and cemeteries),https://en.wikipedia.org/wiki/Gallipoli_Peninsula_Historical_Site
kilitbahir-castle,Kilitbahir Castle,Kilitbahir Kalesi,Marmara,Çanakkale,heritage,gem,False,40.14766,26.37956,CKZ,Çanakkale (CKZ),≈4h50,5,5,Apr–Jun and Sep–Oct — the strait funnels wind hard in winter,≈₺200 (≈€5) · covered by Museum Pass Türkiye,https://en.wikipedia.org/wiki/Kilitbahir_Castle
adatepe-yesilyurt,Adatepe and Yeşilyurt,Adatepe ve Yeşilyurt,Marmara,Çanakkale,village,gem,False,39.60111,26.40472,EDO,Balıkesir Koca Seyit (EDO),≈4h50,65,65,Apr–Jun and Sep–Oct — the villages are cool when the coast below is not,Villages free; olive oil museum ≈₺100 (≈€2.50),"https://en.wikipedia.org/wiki/Ayvac%C4%B1k,_%C3%87anakkale"
bayezid-ii-complex-edirne,Bayezid II Complex and Health Museum,II. Bayezid Külliyesi Sağlık Müzesi,Marmara,Edirne,heritage,gem,False,41.68583,26.54361,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,170,165,Apr–Jun and Sep–Oct — the riverside floods and turns to mud after winter rain,"≈₺200 (≈€5) — university-run, not on the Museum Pass Türkiye",https://en.wikipedia.org/wiki/Complex_of_Sultan_Bayezid_II
kirkpinar-sarayici,Kırkpınar Oil Wrestling and Sarayiçi,Kırkpınar Yağlı Güreşleri ve Sarayiçi,Marmara,Edirne,heritage,gem,False,41.6906,26.5528,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,170,165,Late Jun–early Jul for the festival; otherwise Apr–Oct for the ruins and the storks,Grounds free; festival ticket ≈₺300 (≈€7),https://en.wikipedia.org/wiki/K%C4%B1rkp%C4%B1nar
edirne,Edirne,Edirne,Marmara,Edirne,city,icon,False,41.67694,26.55556,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,165,160,Apr–Jun and Sep–Oct — the Thracian plain is baking in July and grey in January,Free to walk; museums ≈₺150 (≈€4),https://en.wikipedia.org/wiki/Edirne
selimiye-mosque-edirne,Selimiye Mosque,Selimiye Camii,Marmara,Edirne,heritage,icon,True,41.67806,26.55944,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,165,160,Year-round — winter mornings give the emptiest interior,Free (mosque); Foundation Museum in the medrese ≈₺100 (≈€3),"https://en.wikipedia.org/wiki/Selimiye_Mosque,_Edirne"
canakkale-1915-bridge,1915 Çanakkale Bridge,1915 Çanakkale Köprüsü,Marmara,Çanakkale,drive,icon,False,40.34,26.63611,CKZ,Çanakkale (CKZ),≈4h50,35,35,Year-round — strong northerlies occasionally close it to high-sided vehicles,"Toll ≈₺500 (≈€12) per car, HGS electronic only",https://en.wikipedia.org/wiki/1915_%C3%87anakkale_Bridge
kaz-daglari-mount-ida,Kaz Dağları (Mount Ida),Kaz Dağları,Marmara,Çanakkale,mountain,icon,False,39.7,26.83333,EDO,Balıkesir Koca Seyit (EDO),≈4h50,25,25,"May–Jun for flowers and water, Sep–Oct for the ridge — snow on top Dec–Mar",Free on the Çanakkale forest roads; national park entry from the south ≈₺100 (≈€2.50),https://en.wikipedia.org/wiki/Mount_Ida_(Turkey)
sarkoy-ganos,Şarköy and the Ganos Hills,Şarköy ve Ganos Dağları,Marmara,Tekirdağ,village,gem,False,40.60389,27.10639,CKZ,Çanakkale (CKZ),≈4h50,100,95,"May–Jun and Sep–Oct — harvest is September, and August is a domestic-holiday crush",Free; winery tastings ≈₺300 (≈€7),https://en.wikipedia.org/wiki/%C5%9Eark%C3%B6y
ucmakdere,Uçmakdere,Uçmakdere,Marmara,Tekirdağ,drive,gem,False,40.6408,27.3244,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,95,90,May–Oct — the road is greasy and sometimes blocked by rockfall after winter rain,Free,https://en.wikipedia.org/wiki/%C5%9Eark%C3%B6y
avsa-island,Avşa Island,Avşa Adası,Marmara,Balıkesir,coast,gem,False,40.51194,27.49861,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,100,95,June and September — August is chaos and winter has almost no sailings,Free,https://en.wikipedia.org/wiki/Av%C5%9Fa
tekirdag,Tekirdağ,Tekirdağ,Marmara,Tekirdağ,city,gem,False,40.97778,27.51528,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,50,50,"May–Jun and Sep — August is hot, crowded and the sea inside the bay is not the cleanest",Rákóczi Museum ≈₺60 (≈€1.50),https://en.wikipedia.org/wiki/Tekirda%C4%9F
dupnisa-cave,Dupnisa Cave,Dupnisa Mağarası,Marmara,Kırklareli,water,gem,False,41.84056,27.55611,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,110,105,May–Sep only — closed to visitors through the bat hibernation months,≈₺100 (≈€2.50),https://en.wikipedia.org/wiki/Dupnisa_Cave
yildiz-daglari-strandja,Yıldız Mountains (Strandja),Yıldız Dağları,Marmara,Kırklareli,nature,gem,False,42.0125,27.60861,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,130,125,May–Jun and Sep–Oct — winter fog and mud make the forest roads miserable,Free,https://en.wikipedia.org/wiki/Strandzha
marmara-island,Marmara Island,Marmara Adası,Marmara,Balıkesir,coast,gem,False,40.62,27.63,TEQ,Tekirdağ Çorlu (TEQ),≈4h40,80,75,Jun–Sep — ferries thin out from October and cancel outright in bad weather,Free,https://en.wikipedia.org/wiki/Marmara_Island
